time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_dist,computation_time
15.978,0.5461407470252497,-0.48452573131118776,0.9500000012516976,0.556443540615083,-0.4852395489278266,0.9442254975557643,0.011832243416989076,0.02502608299255371
15.983,0.5443758825850903,-0.48386009457292023,0.9500000012516976,0.556443540615083,-0.4852395489278266,0.9442254975557643,0.013449020692246174,0.013490438461303711
15.987,0.5425785814734845,-0.483182224011085,0.9500000012516976,0.556443540615083,-0.4852395489278266,0.9442254975557643,0.015159636233946724,0.005143880844116211
15.992,0.5407490331314075,-0.4824921910752904,0.9500000012516976,0.556443540615083,-0.4852395489278266,0.9442254975557643,0.01694728394933494,0.0056607723236083984
15.996,0.5388874303987903,-0.4817900684970955,0.9500000012516976,0.556443540615083,-0.4852395489278266,0.9442254975557643,0.018800553558418517,0.005068540573120117
16.0,0.5369939694941932,-0.48107593028234447,0.9500000012516976,0.556443540615083,-0.4852395489278266,0.9442254975557643,0.020711504772611425,0.0077381134033203125
16.009,0.5350688499941247,-0.48034985170336586,0.9500000012516976,0.5433431304580933,-0.47998249060590537,0.9446194681610316,0.009876679994415721,0.04189157485961914
16.013,0.5331122748120048,-0.47961190929103886,0.9500000012516976,0.5433431304580933,-0.47998249060590537,0.9446194681610316,0.011565373928316407,0.005563020706176758
16.017,0.5311244501767778,-0.4788621808267264,0.9500000012516976,0.5433431304580933,-0.47998249060590537,0.9446194681610316,0.013397812439278496,0.0058329105377197266
16.021,0.5291055856111743,-0.47810074533407704,0.9500000012516976,0.5433431304580933,-0.47998249060590537,0.9446194681610316,0.015336191993967475,0.010824203491210938
16.025,0.5270558939096283,-0.47732768307069556,0.9500000012516976,0.5433431304580933,-0.47998249060590537,0.9446194681610316,0.017357194870554846,0.006386518478393555
16.029,0.5249755911158465,-0.47654307551968356,0.9500000012516976,0.5433431304580933,-0.47998249060590537,0.9446194681610316,0.019445981949083185,0.009387731552124023
16.035,0.5228648965000379,-0.47574700538105086,0.9500000012516976,0.5433431304580933,-0.47998249060590537,0.9446194681610316,0.0215927658596709,0.039663076400756836
16.039,0.520724032535801,-0.4749395565629987,0.9500000012516976,0.5433431304580933,-0.47998249060590537,0.9446194681610316,0.023790857717180102,0.009282350540161133
16.043,0.5185532248766753,-0.4741208141730755,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.01055955232018666,0.00924229621887207
16.047,0.5163527023323562,-0.4732908645092065,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.012475755698734712,0.009423494338989258
16.051,0.5141226968445778,-0.4724497950505973,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.014548599910565601,0.006361246109008789
16.055,0.5118634434626658,-0.47159769444851374,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.016733166587843747,0.006300210952758789
16.059,0.5095751803187624,-0.47073465251693736,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.01900262087868722,0.006417512893676758
16.063,0.5072581486027263,-0.469860760223099,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.021340301340733996,0.00957036018371582
16.067,0.5049125925367111,-0.4689761096778906,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.023735424794028757,0.013295412063598633
16.072,0.5025387593494228,-0.4680807941261562,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.026180728420353006,0.022310256958007812
16.079,0.5001368992500619,-0.467174907936864,0.9500000012516976,0.5275615064956443,-0.4734962977221248,0.9445259728741133,0.02867113597453451,0.02445387840270996
