time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_dist,error_orient,computation_time,v1,v2,v3,v4,v5,v6
26.407,-0.10070932300227997,-0.4011338284641739,0.9513423269672368,-0.1007542789060368,-0.39995080907831415,0.9483585485188524,0.0032100607049782774,0.00289818324804351,0.03159976005554199,-0.0002760107107180083,0.026173144458565705,0.11886691166326649,-0.13172437614736282,0.0018642019257229276,-8.625010255137642e-05
26.417,-0.10070932300227997,-0.4011338284641739,0.95164888273289,-0.1007542789060368,-0.39995080907831415,0.9483585485188524,0.003496835017650789,0.00289818324804351,0.029903411865234375,-0.0002760107107180083,0.026173144458565705,0.11886691166326649,-0.13172437614736282,0.0018642019257229276,-8.625010255137642e-05
26.426,-0.10070932300227997,-0.4011338284641739,0.9519086044761322,-0.1007542789060368,-0.39995080907831415,0.9483585485188524,0.00374225242339701,0.00289818324804351,0.015269279479980469,-0.0002760107107180083,0.026173144458565705,0.11886691166326649,-0.13172437614736282,0.0018642019257229276,-8.625010255137642e-05
26.434,-0.10070932300227997,-0.4011338284641739,0.9521213281511438,-0.10074967797734052,-0.4000865318483,0.9500611357779852,0.0023114608670825013,0.0025479266757684515,0.005017757415771484,-0.0008609615503371843,0.015937065206560803,0.05528599595155399,-0.04459960521672318,0.0009807905139688244,1.2675006985479438e-06
26.443,-0.10070932300227997,-0.4011338284641739,0.9522869193970924,-0.10074967797734052,-0.4000865318483,0.9500611357779852,0.002460197440190305,0.0025479266757684515,0.010529279708862305,-0.0008609615503371843,0.015937065206560803,0.05528599595155399,-0.04459960521672318,0.0009807905139688244,1.2675006985479438e-06
26.451,-0.10070932300227997,-0.4011338284641739,0.9524052736229977,-0.10074967797734052,-0.4000865318483,0.9500611357779852,0.0025677696473890496,0.0025479266757684515,0.006469011306762695,-0.0008609615503371843,0.015937065206560803,0.05528599595155399,-0.04459960521672318,0.0009807905139688244,1.2675006985479438e-06
26.462,-0.10070932300227997,-0.4011338284641739,0.9524763160737939,-0.10074967797734052,-0.4000865318483,0.9500611357779852,0.0026327845690248737,0.0025479266757684515,0.032470703125,-0.0008609615503371843,0.015937065206560803,0.05528599595155399,-0.04459960521672318,0.0009807905139688244,1.2675006985479438e-06
26.471,-0.10070932300227997,-0.4011338284641739,0.9525000018775464,-0.10074591247462071,-0.40021034509444947,0.9509544785295998,0.0018007783713415897,0.0022605508693210696,0.00616908073425293,0.00027634666484587693,0.007709811779909916,0.016701739207416414,-0.0077338023117579195,-0.0006109655260157956,-5.102914692311917e-05
26.509,-0.10070932300227997,-0.4011338284641739,0.9525000018775464,-0.10074540238662061,-0.4003066887150977,0.9510428547164577,0.0016759295138952031,0.002049844883472358,0.007706403732299805,0.00035721150183729266,-0.0027359982420300704,-0.0009254451872705966,0.003765429683455656,-5.312824430755121e-05,3.5472888672786606e-05
26.518,-0.10068768398828051,-0.4011218037723285,0.9525065101153076,-0.10074540238662061,-0.4003066887150977,0.9510428547164577,0.0016763147367406513,0.002055643291928768,0.01784968376159668,0.00035721150183729266,-0.0027359982420300704,-0.0009254451872705966,0.003765429683455656,-5.312824430755121e-05,3.5472888672786606e-05
26.525,-0.10062277682921883,-0.4010857351886907,0.952526031856159,-0.10074540238662061,-0.4003066887150977,0.9510428547164577,0.0016798109605186008,0.0021640195454715803,0.005877494812011719,0.00035721150183729266,-0.0027359982420300704,-0.0009254451872705966,0.003765429683455656,-5.312824430755121e-05,3.5472888672786606e-05
26.534,-0.1005146311693913,-0.40102563918644774,0.9525585581841618,-0.10074540238662061,-0.4003066887150977,0.9510428547164577,0.0016933700531680106,0.002594340513235641,0.01587533950805664,0.00035721150183729266,-0.0027359982420300704,-0.0009254451872705966,0.003765429683455656,-5.312824430755121e-05,3.5472888672786606e-05
26.541,-0.10036329640091493,-0.400941543212552,0.952604074243942,-0.10074540238662061,-0.4003066887150977,0.9510428547164577,0.0017281353043811201,0.0035062242227594824,0.0070798397064208984,0.00035721150183729266,-0.0027359982420300704,-0.0009254451872705966,0.003765429683455656,-5.312824430755121e-05,3.5472888672786606e-05
